ID,Section,A_202101,A_202102,A_202103,A_202104,A_202105,A_202106,A_202107,A_202108,A_202109,A_202110,A_202111,A_202112,A_202201,A_202202
1,1,1202101,1202102,1202103,1202104,1202105,1202106,1202107,1202108,1202109,1202110,1202111,1202112,1202201,1202202
2,1,2202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,,,
3,2,1202101,2202101,2202101,2202101,2202101,2202101,2202101,2202101,2202101,2202101,2202101,,,
4,2,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,,,
5,3,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,,,
6,3,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,,,
7,4,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,,,
8,4,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,,,
9,5,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,,,
10,5,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,1202101,,,
